Date,Open,High,Low,Close,Adj Close,Volume
2023-02-06,24.850000,25.450001,24.520000,24.870001,24.454031,161816200
2023-02-07,24.830000,26.690001,24.540001,26.410000,25.968273,259894600
2023-02-08,26.049999,26.299999,24.809999,24.990000,24.572025,181257200
2023-02-09,26.049999,26.090000,23.930000,24.320000,23.913231,197598400
2023-02-10,23.760000,24.260000,23.219999,23.820000,23.421593,183931700
2023-02-13,24.139999,25.100000,23.850000,24.950001,24.532692,139869900
2023-02-14,24.540001,25.740000,24.049999,25.490000,25.063658,255737200
2023-02-15,25.020000,26.100000,24.850000,26.059999,25.624125,137763700
2023-02-16,24.830000,25.870001,24.530001,24.570000,24.159048,194496500
2023-02-17,24.030001,24.230000,23.299999,24.040001,23.637911,194902400
2023-02-21,23.100000,23.450001,22.290001,22.350000,21.976179,150468800
2023-02-22,22.450001,22.850000,21.980000,22.370001,21.995846,167338700
2023-02-23,23.190001,23.230000,21.950001,22.930000,22.546476,179770000
2023-02-24,21.750000,22.030001,21.350000,21.770000,21.405882,172781800
2023-02-27,22.480000,22.799999,22.100000,22.240000,21.868019,138754400
2023-02-28,22.080000,22.719999,22.000000,22.129999,21.759859,127315800
2023-03-01,22.059999,22.209999,21.370001,21.590000,21.228891,154386900
2023-03-02,21.010000,22.299999,20.950001,22.110001,21.740194,157937300
2023-03-03,22.500000,23.530001,22.379999,23.459999,23.067614,151676600
2023-03-06,23.760000,24.480000,23.500000,23.559999,23.165941,151849900
2023-03-07,23.559999,23.780001,22.520000,22.680000,22.300661,176331500
2023-03-08,22.750000,23.139999,22.330000,22.990000,22.605473,145492800
2023-03-09,23.110001,23.709999,21.590000,21.780001,21.415712,196833700
2023-03-10,21.820000,22.160000,20.620001,20.879999,20.530766,314857600
2023-03-13,20.469999,22.150000,20.129999,21.330000,20.973240,329540700
2023-03-14,22.120001,22.910000,21.920000,22.780001,22.398989,217162900
2023-03-15,22.170000,23.219999,21.830000,23.110001,22.723469,274559400
2023-03-16,22.879999,25.030001,22.719999,24.940001,24.522861,228357100
2023-03-17,24.930000,25.510000,24.100000,24.570000,24.159048,201770300
2023-03-20,24.430000,24.920000,23.889999,24.830000,24.414700,164178000
2023-03-21,25.309999,26.000000,24.930000,25.879999,25.447136,135145100
2023-03-22,25.709999,26.959999,24.650000,24.680000,24.408680,237918100
2023-03-23,25.600000,26.610001,24.879999,25.559999,25.279005,196497200
2023-03-24,25.440001,25.840000,24.840000,25.820000,25.536148,169415100
2023-03-27,25.990000,26.260000,25.059999,25.290001,25.011974,136795600
2023-03-28,25.139999,25.139999,24.290001,24.870001,24.596592,118020700
2023-03-29,25.760000,26.370001,25.570000,26.230000,25.941639,119365300
2023-03-30,26.820000,27.090000,26.490000,26.940001,26.643835,130150000
2023-03-31,27.000000,28.320000,26.910000,28.260000,27.949324,127022100
2023-04-03,27.680000,28.120001,27.330000,28.059999,27.751520,125116300
2023-04-04,28.160000,28.430000,27.420000,27.780001,27.474602,116090400
2023-04-05,27.469999,27.520000,26.410000,26.889999,26.594383,129137000
2023-04-06,26.459999,27.559999,26.110001,27.430000,27.128448,120960300
2023-04-10,26.639999,27.379999,26.170000,27.370001,27.069109,118528800
2023-04-11,27.360001,27.370001,26.700001,26.840000,26.544933,104260800
2023-04-12,27.340000,27.490000,26.000000,26.129999,25.842739,174019300
2023-04-13,26.530001,27.740000,26.490000,27.629999,27.326248,123761500
2023-04-14,27.209999,27.930000,26.700001,27.469999,27.168009,142666100
2023-04-17,27.350000,27.620001,26.809999,27.500000,27.197678,114308900
2023-04-18,28.070000,28.180000,27.200001,27.520000,27.217461,106414900
2023-04-19,26.870001,27.740000,26.840000,27.459999,27.158117,95925300
2023-04-20,26.670000,27.580000,26.469999,26.820000,26.525154,136847600
2023-04-21,26.700001,27.090000,26.250000,26.870001,26.574606,114444000
2023-04-24,26.809999,27.170000,26.139999,26.709999,26.416361,107645400
2023-04-25,26.280001,26.450001,25.170000,25.200001,24.922964,138288000
2023-04-26,26.020000,26.389999,25.510000,25.620001,25.338346,124862300
2023-04-27,26.559999,27.830000,26.389999,27.690001,27.385590,127815600
2023-04-28,27.639999,28.280001,27.330000,28.250000,27.939434,130536100
2023-05-01,28.139999,28.530001,27.870001,28.170000,27.860312,89001300
2023-05-02,28.139999,28.219999,26.959999,27.420000,27.118559,124656000
2023-05-03,27.500000,28.200001,26.830000,26.879999,26.584494,170133800
2023-05-04,26.780001,27.080000,26.280001,26.580000,26.287790,121310800
2023-05-05,27.120001,28.459999,27.030001,28.209999,27.899872,97627100
2023-05-08,28.100000,28.540001,27.820000,28.440001,28.127346,75738500
2023-05-09,27.990000,28.219999,27.809999,27.889999,27.583391,64840700
2023-05-10,28.520000,29.020000,27.870001,28.790001,28.473495,151551000
2023-05-11,28.910000,29.190001,28.490000,29.030001,28.710859,97341500
2023-05-12,29.180000,29.299999,28.170000,28.730000,28.414158,105114100
2023-05-15,28.850000,29.250000,28.430000,29.170000,28.849319,86467600
2023-05-16,28.980000,29.740000,28.959999,29.280001,28.958113,79663500
2023-05-17,29.549999,30.480000,29.230000,30.330000,29.996567,101104600
2023-05-18,30.400000,32.040001,30.400000,31.959999,31.608648,135933800
2023-05-19,32.029999,32.240002,31.450001,31.740000,31.391064,98804300
2023-05-22,31.680000,32.360001,31.670000,32.070000,31.717438,83312400
2023-05-23,31.559999,31.900000,30.730000,30.830000,30.491070,106315000
2023-05-24,30.270000,30.700001,29.770000,30.330000,29.996567,117972500
2023-05-25,32.360001,32.869999,31.680000,32.520000,32.162495,130873500
2023-05-26,32.810001,35.250000,32.790001,34.980000,34.595448,126392200
2023-05-30,36.310001,36.669998,35.040001,35.470001,35.080063,135306400
2023-05-31,34.970001,35.590000,34.400002,34.750000,34.367977,105144500
2023-06-01,34.740002,36.430000,34.410000,36.009998,35.614120,108379600
2023-06-02,36.560001,37.189999,36.009998,36.820000,36.415218,108007500
2023-06-05,36.759998,37.700001,36.560001,36.900002,36.494339,103130900
2023-06-06,36.689999,37.160000,36.259998,36.860001,36.454781,79754500
2023-06-07,36.939999,37.560001,34.770000,34.980000,34.595448,114242700
2023-06-08,35.020000,36.380001,34.950001,36.180000,35.782257,94076900
2023-06-09,36.680000,37.619999,36.200001,36.619999,36.217419,103851700
2023-06-12,37.150002,38.509998,36.840000,38.490002,38.066860,77428700
2023-06-13,39.369999,39.630001,38.320000,39.349998,38.917404,133267100
2023-06-14,39.349998,40.299999,38.419998,40.189999,39.748169,152656500
2023-06-15,39.740002,42.090000,39.509998,41.599998,41.142670,127937000
2023-06-16,42.410000,42.439999,40.650002,40.799999,40.351463,112156600
2023-06-20,40.290001,41.080002,39.599998,40.599998,40.153664,84124900
2023-06-21,40.080002,40.220001,38.500000,38.849998,38.544422,99633300
2023-06-22,38.369999,40.189999,38.240002,40.139999,39.824276,105099600
2023-06-23,38.830002,39.709999,38.380001,38.950001,38.643635,112379100
2023-06-26,38.759998,39.669998,37.340000,37.410000,37.115749,108450000
2023-06-27,37.849998,39.500000,37.599998,39.259998,38.951199,97677000
2023-06-28,38.669998,40.139999,38.630001,39.500000,39.189312,108676300
2023-06-29,39.360001,39.560001,38.669998,39.230000,38.921432,99133200
2023-06-30,40.400002,41.349998,40.290001,41.000000,40.677513,91993400
2023-07-03,41.200001,41.490002,40.840000,41.279999,40.955307,39934000
2023-07-05,40.720001,41.840000,40.709999,41.250000,40.925545,69503700
2023-07-06,39.970001,40.419998,39.290001,40.279999,39.963173,85236700
2023-07-07,40.189999,41.259998,39.779999,39.869999,39.556396,84068400
2023-07-10,39.759998,40.110001,38.930000,39.900002,39.586166,86006800
2023-07-11,40.020000,40.619999,39.299999,40.470001,40.151680,81239300
2023-07-12,41.830002,42.439999,41.150002,41.970001,41.639881,115167700
2023-07-13,43.020000,44.360001,42.830002,44.060001,43.713444,82386600
2023-07-14,44.220001,45.360001,43.720001,44.020000,43.673759,92836500
2023-07-17,44.279999,45.570000,44.110001,45.240002,44.884163,72762600
2023-07-18,45.020000,46.840000,44.310001,46.320000,45.955666,98316800
2023-07-19,46.730000,47.139999,45.820000,46.320000,45.955666,100286900
2023-07-20,45.160000,45.700001,42.689999,43.070000,42.731228,116931400
2023-07-21,43.880001,44.180000,42.509998,42.689999,42.354218,102377100
2023-07-24,42.980000,43.310001,42.200001,42.860001,42.522881,63214600
2023-07-25,43.080002,44.279999,43.080002,43.720001,43.376118,69099600
2023-07-26,43.320000,43.849998,42.439999,43.270000,42.929657,102882300
2023-07-27,45.110001,45.689999,42.450001,42.900002,42.562569,130551600
2023-07-28,44.299999,45.590000,44.130001,45.220001,44.864323,102243800
2023-07-31,45.330002,45.709999,44.820000,45.310001,44.953613,79504600
2023-08-01,44.790001,45.230000,44.209999,44.959999,44.606361,76528300
2023-08-02,43.689999,43.700001,41.529999,42.020000,41.689487,129022000
2023-08-03,41.110001,42.459999,41.049999,41.720001,41.391850,100670100
2023-08-04,42.389999,43.169998,40.970001,41.139999,40.816410,123503100
2023-08-07,41.730000,42.200001,40.939999,42.160000,41.828384,74896100
2023-08-08,41.290001,41.290001,40.000000,41.080002,40.756886,94390000
2023-08-09,41.160000,41.209999,39.450001,39.709999,39.397659,99715300
2023-08-10,40.660000,41.750000,39.369999,39.889999,39.576241,130277100
2023-08-11,39.029999,39.669998,38.599998,39.090000,38.782536,100580600
2023-08-14,38.830002,40.439999,38.599998,40.389999,40.072308,71276800
2023-08-15,40.070000,40.340000,38.880001,39.150002,38.842064,81276800
2023-08-16,38.919998,39.419998,37.820000,37.849998,37.552284,95111000
2023-08-17,38.250000,38.360001,36.430000,36.570000,36.282356,105116400
2023-08-18,35.529999,36.810001,35.369999,36.400002,36.113693,123264900
2023-08-21,36.869999,38.380001,36.709999,38.160000,37.859848,95743600
2023-08-22,38.970001,38.980000,37.770000,37.990002,37.691189,90393000
2023-08-23,38.349998,40.119999,38.279999,39.779999,39.467106,87727000
2023-08-24,40.880001,40.910000,37.099998,37.160000,36.867714,116198600
2023-08-25,37.430000,38.560001,36.349998,38.040001,37.740791,139144700
2023-08-28,38.950001,39.169998,38.080002,38.889999,38.584106,91320500
2023-08-29,38.799999,41.520000,38.689999,41.369999,41.044598,93747800
2023-08-30,41.430000,42.279999,41.080002,42.060001,41.729176,92979100
2023-08-31,42.040001,42.980000,42.020000,42.439999,42.106186,81121400
2023-09-01,43.209999,43.360001,41.750000,42.290001,41.957367,82413500
2023-09-05,41.970001,42.820000,41.660000,42.400002,42.066498,61889300
2023-09-06,42.139999,42.240002,40.580002,41.279999,40.955307,74029100
2023-09-07,39.740002,40.599998,39.380001,40.380001,40.062389,84311500
2023-09-08,40.310001,41.240002,40.169998,40.500000,40.181446,74770800
2023-09-11,41.490002,42.090000,40.840000,41.880001,41.550591,70856400
2023-09-12,41.340000,41.810001,40.400002,40.540001,40.221130,77762100
2023-09-13,40.580002,41.490002,40.189999,40.939999,40.617981,85424700
2023-09-14,41.500000,42.240002,40.799999,41.900002,41.570431,76189900
2023-09-15,41.450001,41.590000,39.430000,39.750000,39.437344,89663700
2023-09-18,39.430000,40.220001,39.330002,39.840000,39.526634,62399100
2023-09-19,39.410000,39.830002,38.599998,39.599998,39.288521,74370700
2023-09-20,39.770000,39.900002,37.700001,37.750000,37.585003,98019200
2023-09-21,36.549999,36.779999,35.570000,35.599998,35.444397,107851700
2023-09-22,36.130001,36.779999,35.520000,35.630001,35.474270,94090600
2023-09-25,35.310001,36.139999,35.009998,36.099998,35.942211,81269200
2023-09-26,35.310001,35.480000,34.169998,34.490002,34.339252,105339700
2023-09-27,34.810001,35.270000,33.630001,34.700001,34.548332,128435800
2023-09-28,34.389999,36.169998,34.130001,35.540001,35.384663,134072900
2023-09-29,36.580002,37.000000,35.230000,35.619999,35.464310,143081300
2023-10-02,35.669998,36.900002,35.480000,36.470001,36.310596,118231600
